matrix,state_idx,row,col,theta,phi,curv_mean,curv_std,energy,db_group,entropy_bits,u,v,psi,chi,rho,delta,sigma,attractor42
B,10,3,1,2.692794,2.094395,1.869251,0.474534,21.605326,44,3.549473,0.443516,0.113193,0.087595,0.078583,0.082418,0.067079,0.428571,18
B,11,3,2,2.692794,4.188790,1.869251,0.474534,21.605326,44,3.541691,0.440793,0.111831,0.083720,0.077841,0.082418,0.064111,0.428571,18
B,12,4,0,3.590392,0.000000,1.869251,0.474534,23.808470,46,3.723360,0.503263,0.151470,0.173846,0.101470,0.090822,0.133413,0.428571,18
B,13,4,1,3.590392,2.094395,1.869251,0.474534,23.808470,46,3.602501,0.461345,0.130511,0.113768,0.089943,0.090822,0.087308,0.428571,18
B,14,4,2,3.590392,4.188790,1.869251,0.474534,23.808470,46,3.702604,0.496062,0.147870,0.163526,0.099490,0.090822,0.125494,0.428571,18
B,15,5,0,4.487990,0.000000,1.869251,0.474534,24.719363,46,3.570354,0.449933,0.128281,0.097700,0.089484,0.094297,0.075044,0.428571,18
B,16,5,1,4.487990,2.094395,1.869251,0.474534,24.719363,46,3.637767,0.473224,0.139926,0.131178,0.095912,0.094297,0.100759,0.428571,18
B,17,5,2,4.487990,4.188790,1.869251,0.474534,24.719363,46,3.661664,0.481481,0.144055,0.143048,0.098192,0.094297,0.109876,0.428571,18
B,18,6,0,5.385587,0.000000,1.869251,0.474534,23.756256,46,3.368589,0.607565,0.203423,0.323281,0.129988,0.090623,0.248081,0.595238,25
B,19,6,1,5.385587,2.094395,1.869251,0.474534,23.756256,46,3.536947,0.438619,0.118950,0.081183,0.083542,0.090623,0.062299,0.428571,18
B,20,6,2,5.385587,4.188790,1.869251,0.474534,23.756256,46,3.480550,0.419057,0.109169,0.053151,0.078164,0.090623,0.040787,0.285714,12
